train_task,test_task,test_acc,test_loss,epoch
0,0,0.46922672277748556,0.7018406249422077,0
0,avg,0.46922672277748556,0.7018406249422077,0
0,0,0.46922672277748556,0.7018406249422077,0
0,avg,0.46922672277748556,0.7018406249422077,0
1,0,0.46922672277748556,0.7018406249422077,0
1,1,0.4865134865134865,0.693242037808383,0
1,avg,0.47787010464548607,0.6975413313752954,0
1,0,0.46922672277748556,0.7018406249422077,0
1,1,0.4865134865134865,0.693242037808383,0
1,avg,0.47787010464548607,0.6975413313752954,0
2,0,0.46922672277748556,0.7018406249422077,0
2,1,0.4865134865134865,0.693242037808383,0
2,2,0.5070281124497992,0.6931056363515585,0
2,avg,0.48758944058025716,0.6960627663673832,0
2,0,0.46922672277748556,0.7018406249422077,0
2,1,0.4865134865134865,0.693242037808383,0
2,2,0.5070281124497992,0.6931056363515585,0
2,avg,0.48758944058025716,0.6960627663673832,0
3,0,0.46922672277748556,0.7018406249422077,0
3,1,0.4865134865134865,0.693242037808383,0
3,2,0.5070281124497992,0.6931056363515585,0
3,3,0.4577161968466316,0.693585655988829,0
3,avg,0.4801211296468508,0.6954434887727446,0
3,0,0.46922672277748556,0.6999239974245155,1
3,1,0.5134865134865135,0.6912767637026059,1
3,2,0.5070281124497992,0.6917494272132475,1
3,3,0.4577161968466316,0.6932470400938279,1
3,avg,0.4868643863901075,0.6940493071085492,1
3,0,0.46922672277748556,0.6971520509674698,2
3,1,0.5134865134865135,0.689149366868483,2
3,2,0.5115461847389559,0.6898807540954836,2
3,3,0.4577161968466316,0.6909074851672614,2
3,avg,0.48799390446239665,0.6917724142746744,2
3,0,0.46922672277748556,0.6931798293802501,3
3,1,0.5134865134865135,0.6852121648493108,3
3,2,0.9136546184738956,0.6870119562110748,3
3,3,0.4577161968466316,0.6860442838199504,3
3,avg,0.5885210128961316,0.6878620585651466,3
3,0,0.46922672277748556,0.6861360560963494,4
3,1,0.5134865134865135,0.6778095333011714,4
3,2,0.8810240963855421,0.6815441009031242,4
3,3,0.5957955088389871,0.6747696106933944,4
3,avg,0.6148832103721321,0.6800648252485099,4
3,0,0.49763282482903737,0.6765049829538216,5
3,1,0.5134865134865135,0.6638352187363418,5
3,2,0.9246987951807228,0.6724510958874561,5
3,3,0.9522216913521261,0.6537924127264337,5
3,avg,0.7220099562121,0.6666459275760133,5
3,0,0.8527091004734351,0.6592988039806352,6
3,1,0.5799200799200799,0.6356740793386301,6
3,2,0.928714859437751,0.6574306947639189,6
3,3,0.9718107978977544,0.6162473530047143,6
3,avg,0.8332887094322552,0.6421627327719747,6
3,0,0.891109942135718,0.6270248075963822,7
3,1,0.6833166833166833,0.5921248017729341,7
3,2,0.9257028112449799,0.6343111474829984,7
3,3,0.9622551361681796,0.5529847288610146,7
3,avg,0.8655961432163902,0.6016113714283323,7
3,0,0.8243029984218833,0.5767834446168084,8
3,1,0.7472527472527473,0.5303983316793071,8
3,2,0.9347389558232931,0.5929200390735304,8
3,3,0.959866220735786,0.4639555525107641,8
3,avg,0.8665402305584274,0.5410143419701026,8
3,0,0.7922146238821672,0.5192287792223871,9
3,1,0.7852147852147852,0.4608760723224529,9
3,2,0.9432730923694779,0.5213828297503981,9
3,3,0.9569995222169135,0.3562166730695744,9
3,avg,0.8694255059208359,0.4644260885912031,9
3,0,0.8058916359810626,0.47296779698788777,10
3,1,0.8776223776223776,0.36348167213645727,10
3,2,0.9236947791164659,0.4387502861788953,10
3,3,0.9641662685140946,0.2722232575286705,10
3,avg,0.8928437653085002,0.3868557532079777,10
