train_task,test_task,test_acc,test_loss,epoch
0,0,0.5293843283582089,0.6918344213001764,0
0,avg,0.5293843283582089,0.6918344213001764,0
0,0,0.5293843283582089,0.6918344213001764,0
0,avg,0.5293843283582089,0.6918344213001764,0
1,0,0.5293843283582089,0.6918344213001764,0
1,1,0.5178378378378379,0.6926456039016311,0
1,avg,0.5236110830980234,0.6922400126009037,0
1,0,0.5293843283582089,0.6918344213001764,0
1,1,0.5178378378378379,0.6926456039016311,0
1,avg,0.5236110830980234,0.6922400126009037,0
2,0,0.5293843283582089,0.6918344213001764,0
2,1,0.5178378378378379,0.6926456039016311,0
2,2,0.5129224652087475,0.6933342192329421,0
2,avg,0.5200482104682648,0.6926047481449166,0
2,0,0.5293843283582089,0.6918344213001764,0
2,1,0.5178378378378379,0.6926456039016311,0
2,2,0.5129224652087475,0.6933342192329421,0
2,avg,0.5200482104682648,0.6926047481449166,0
3,0,0.5293843283582089,0.6918344213001764,0
3,1,0.5178378378378379,0.6926456039016311,0
3,2,0.5129224652087475,0.6933342192329421,0
3,3,0.5020449897750511,0.694676623510193,0
3,avg,0.5155474052949613,0.6931227169862357,0
3,0,0.5293843283582089,0.691059361642866,1
3,1,0.5178378378378379,0.6927087278623839,1
3,2,0.5129224652087475,0.6938417028954205,1
3,3,0.5020449897750511,0.6944050194051856,1
3,avg,0.5155474052949613,0.693003702951464,1
3,0,0.5293843283582089,0.6901040788906724,2
3,1,0.5178378378378379,0.6928028065449483,2
3,2,0.5129224652087475,0.694971990869723,2
3,3,0.5020449897750511,0.6942507933010109,2
3,avg,0.5155474052949613,0.6930324174015886,2
3,0,0.5293843283582089,0.6884265906775175,3
3,1,0.5178378378378379,0.6929736616804794,3
3,2,0.5129224652087475,0.6965679449305145,3
3,3,0.5020449897750511,0.6942493735159345,3
3,avg,0.5155474052949613,0.6930543927011115,3
3,0,0.5293843283582089,0.6857804220114181,4
3,1,0.5178378378378379,0.6927607190931165,4
3,2,0.5129224652087475,0.6987411999560256,4
3,3,0.5020449897750511,0.6944275721450525,4
3,avg,0.5155474052949613,0.6929274783014031,4
3,0,0.5293843283582089,0.6822316788915378,5
3,1,0.5178378378378379,0.6918633558943464,5
