train_task,test_task,test_acc,test_loss,epoch
0,0,0.46922672277748556,0.7018406249422077,0
0,avg,0.46922672277748556,0.7018406249422077,0
0,0,0.46922672277748556,0.7018406249422077,0
0,avg,0.46922672277748556,0.7018406249422077,0
1,0,0.46922672277748556,0.7018406249422077,0
1,1,0.4865134865134865,0.693242037808383,0
1,avg,0.47787010464548607,0.6975413313752954,0
1,0,0.46922672277748556,0.7018406249422077,0
1,1,0.4865134865134865,0.693242037808383,0
1,avg,0.47787010464548607,0.6975413313752954,0
2,0,0.46922672277748556,0.7018406249422077,0
2,1,0.4865134865134865,0.693242037808383,0
2,2,0.5070281124497992,0.6931056363515585,0
2,avg,0.48758944058025716,0.6960627663673832,0
2,0,0.46922672277748556,0.7018406249422077,0
2,1,0.4865134865134865,0.693242037808383,0
2,2,0.5070281124497992,0.6931056363515585,0
2,avg,0.48758944058025716,0.6960627663673832,0
