dataset,algo,use_contrastive,seed,agent_id,avg_acc,final_acc,forward,backward,catastrophic
cifar100,modular,True,seed_0,agent_1,0.7345759059133542,0.7503,0.2078823529411765,0.01509473684210526,1.1800000000000006
cifar100,modular,True,seed_0,agent_2,0.7300130918712445,0.7446,0.19588235294117648,0.013968421052631576,1.7300000000000006
cifar100,modular,True,seed_0,agent_6,0.785582105356899,0.7712000000000001,0.20541176470588235,0.018494736842105265,0.7599999999999996
cifar100,modular,True,seed_0,agent_7,0.7660545790457296,0.7561,0.2091764705882353,0.01690526315789474,1.5299999999999976
cifar100,modular,True,seed_0,agent_4,0.773231075252386,0.7484000000000001,0.20976470588235294,0.021705263157894734,0.41000000000000036
cifar100,modular,True,seed_0,agent_3,0.7382776902010003,0.7632999999999999,0.21611764705882353,0.01628421052631579,0.07000000000000062
cifar100,modular,True,seed_0,agent_0,0.7643953012372905,0.7725000000000001,0.1935294117647059,0.01718947368421053,0.2199999999999996
cifar100,modular,True,seed_0,agent_5,0.7668671482757009,0.766,0.19788235294117645,0.01774736842105263,0.9400000000000014
