dataset,algo,use_contrastive,seed,agent_id,avg_acc,final_acc,forward,backward,catastrophic
mnist,monolithic,True,seed_0,agent_1,0.9295310413738217,0.9447288695735524,0.5205240472461835,0.011113045855571047,-1.319763843217179
mnist,monolithic,True,seed_0,agent_2,0.9506212331240951,0.9536115444409794,0.4951844878926311,-0.00962490367355781,-0.1918343470628377
mnist,monolithic,True,seed_0,agent_6,0.9298361025195021,0.9517290216983746,0.6497354230376624,-0.00013027291504625707,-1.7896271201826113
mnist,monolithic,True,seed_0,agent_7,0.9460379353732624,0.9601641600571346,0.5139335711711255,2.0871466109166164e-05,-1.5250088755284774
mnist,monolithic,True,seed_0,agent_69420,0.9622316894966292,0.9622316894966292,0.4943240454076367,0.4717125851364332,0.0
mnist,monolithic,True,seed_0,agent_4,0.951036662122975,0.9617923256327676,0.5104457751667603,-0.00496397863227251,-1.1221092350787665
mnist,monolithic,True,seed_0,agent_3,0.9552922915618113,0.9634036008536944,0.621684104472146,-0.008226381761307642,-0.456200030196352
mnist,monolithic,True,seed_0,agent_0,0.9488001192013923,0.9633512288398492,0.46294592975891935,-0.008211571612988827,-1.8079289760272566
mnist,monolithic,True,seed_0,agent_5,0.9676317837814244,0.971638750880896,0.4878393894667328,-0.0010559352870363377,-0.09225019642250162
