dataset,algo,use_contrastive,seed,agent_id,avg_acc,final_acc,forward,backward,catastrophic
cifar100,modular,True,seed_0,agent_1,0.731175488094064,0.7534000000000002,0.6501176470588235,0.015242105263157894,-0.8299999999999996
cifar100,modular,True,seed_0,agent_2,0.740356329197596,0.7564,0.6384705882352941,0.014789473684210524,-0.8699999999999996
cifar100,modular,True,seed_0,agent_6,0.7820860074990751,0.7764,0.6701176470588236,0.018052631578947365,-0.46999999999999986
cifar100,modular,True,seed_0,agent_7,0.7788424564885864,0.7738000000000002,0.6596470588235294,0.017357894736842103,-1.1799999999999995
cifar100,modular,True,seed_0,agent_4,0.7685747348469099,0.7528,0.599764705882353,0.019726315789473682,-0.39999999999999986
cifar100,modular,True,seed_0,agent_3,0.7329215534756686,0.758,0.6501176470588235,0.0154,-1.2599999999999996
cifar100,modular,True,seed_0,agent_0,0.7727353719088884,0.7768999999999998,0.6448235294117647,0.01566315789473684,-1.1900000000000022
cifar100,modular,True,seed_0,agent_5,0.7739605636609119,0.7714999999999999,0.634,0.018600000000000002,-1.7699999999999994
