dataset,algo,use_contrastive,seed,agent_id,no_components
cifar100,modular,True,seed_0,agent_1,20
cifar100,modular,True,seed_0,agent_2,18
cifar100,modular,True,seed_0,agent_6,19
cifar100,modular,True,seed_0,agent_7,18
cifar100,modular,True,seed_0,agent_4,19
cifar100,modular,True,seed_0,agent_3,20
cifar100,modular,True,seed_0,agent_0,20
cifar100,modular,True,seed_0,agent_5,20
