dataset,algo,use_contrastive,seed,agent_id,avg_acc,final_acc,forward,backward,catastrophic
cifar100,modular,True,seed_0,agent_1,0.7548683666947189,0.7766,0.6796470588235293,0.00881283422459893,-0.3699999999999998
cifar100,modular,True,seed_0,agent_2,0.7617359600101632,0.7761999999999999,0.6778823529411764,0.008149732620320855,0.3300000000000003
cifar100,modular,True,seed_0,agent_6,0.8053030727755824,0.7918000000000001,0.6987058823529412,0.010085561497326201,0.04000000000000059
cifar100,modular,True,seed_0,agent_7,0.7820570711437128,0.7744,0.6945882352941176,0.009176470588235293,0.07000000000000006
cifar100,modular,True,seed_0,agent_4,0.7937706747046028,0.7767,0.6567058823529413,0.010962566844919785,-0.10000000000000009
cifar100,modular,True,seed_0,agent_3,0.7622331226575081,0.7818,0.6955294117647058,0.00922994652406417,-0.2999999999999986
cifar100,modular,True,seed_0,agent_0,0.7844708899383868,0.7954,0.6816470588235295,0.008919786096256686,-0.07000000000000006
cifar100,modular,True,seed_0,agent_5,0.7959172551769848,0.7937,0.6771764705882354,0.009657754010695187,0.39999999999999986
