dataset,algo,use_contrastive,seed,agent_id,avg_acc,final_acc,forward,backward,catastrophic
cifar100,modular,True,seed_0,agent_1,0.7355517911659681,0.7604,0.2070588235294118,0.015873684210526314,0.5799999999999994
cifar100,modular,True,seed_0,agent_2,0.7459965335323049,0.7599000000000001,0.20764705882352943,0.015536842105263158,0.40999999999999975
cifar100,modular,True,seed_0,agent_6,0.785139758865146,0.7643,0.20129411764705885,0.01803157894736842,1.3300000000000005
cifar100,modular,True,seed_0,agent_7,0.7748609727590379,0.7664000000000002,0.20176470588235296,0.01771578947368421,0.4299999999999998
cifar100,modular,True,seed_0,agent_4,0.7569889674691015,0.7379999999999999,0.20741176470588235,0.019221052631578948,1.1599999999999995
cifar100,modular,True,seed_0,agent_3,0.7414851360522671,0.7663000000000001,0.20811764705882355,0.016957894736842106,0.27999999999999914
cifar100,modular,True,seed_0,agent_0,0.7570898264193285,0.7597000000000002,0.20223529411764704,0.016200000000000003,1.13
cifar100,modular,True,seed_0,agent_5,0.7564998548077883,0.7569000000000001,0.1994117647058824,0.01736842105263158,0.8000000000000007
