task_id,communication_round,time,algo,dataset,use_contrastive,avg_params,avg_params_stderr,avg_params_std
0,0,0,modular,fashionmnist,True,0.004585545403772638,3.144703974302437e-05,0.00017789132040428316
0,0,0,modular,kmnist,True,0.00482288617006681,4.082669704046604e-05,0.00023095067464609832
0,0,0,modular,mnist,True,0.004868239449154137,3.6461330377369276e-05,0.00020625643168736702
0,0,0,monolithic,fashionmnist,True,0.020490137393478193,0.00079407186236514,0.004491948789022571
0,0,0,monolithic,kmnist,True,0.026055116325421377,0.0003776376096158476,0.0021362409167235523
0,0,0,monolithic,mnist,True,0.02346212462362014,0.0003536608954739791,0.0020006081394412594
0,10,10,modular,fashionmnist,True,0.005798837914751022,0.00011403394112341403,0.0006450733844303486
0,10,10,modular,kmnist,True,0.004711971503119018,7.05539687570042e-05,0.0003991135179816118
0,10,10,modular,mnist,True,0.004396118605654872,6.762702547748404e-05,0.00038255622645283504
0,10,10,monolithic,fashionmnist,True,0.0048232952116059906,0.00018454625391355853,0.0010439512606788134
0,10,10,monolithic,kmnist,True,0.005736487008432131,0.0001566054718098569,0.0008858943287013483
0,10,10,monolithic,mnist,True,0.005514652802568325,0.00013694206604160372,0.0007746613082217123
0,20,20,modular,fashionmnist,True,0.005224750098672512,0.00011727554642137308,0.0006634106731352853
0,20,20,modular,kmnist,True,0.004370875161319888,5.7218686396248786e-05,0.00032367776929099183
0,20,20,modular,mnist,True,0.0040889490646804465,5.876888429498211e-05,0.0003324470128619956
0,20,20,monolithic,fashionmnist,True,0.004163526203163669,0.000155848886264417,0.0008816144345435219
0,20,20,monolithic,kmnist,True,0.004668725162251272,0.00012366286813724492,0.0006995428211265898
0,20,20,monolithic,mnist,True,0.004676160661866894,0.00014749208099427218,0.0008343412051389229
0,30,30,modular,fashionmnist,True,0.004852460450950103,0.00012105474212782086,0.0006847890324269678
0,30,30,modular,kmnist,True,0.004095995271719753,5.009538311391649e-05,0.0002833822808479073
0,30,30,modular,mnist,True,0.0038080678412889843,4.7750192017970286e-05,0.00027011587663093237
0,30,30,monolithic,fashionmnist,True,0.003753487364714819,0.00014546898287789197,0.0008228968339621376
0,30,30,monolithic,kmnist,True,0.004085466669494019,0.00011771599298048504,0.000665902215124872
0,30,30,monolithic,mnist,True,0.004272196570907078,0.00013437366515429338,0.0007601322387479308
0,40,40,modular,fashionmnist,True,0.004561161695164584,0.00013027055656759777,0.000736921551503153
0,40,40,modular,kmnist,True,0.0038255747177961905,4.1434747841756176e-05,0.0002343903294052837
0,40,40,modular,mnist,True,0.0036840002610135565,3.6620352866458335e-05,0.0002071559987305353
0,40,40,monolithic,fashionmnist,True,0.003415858854071128,0.00013871773629029182,0.0007847060160137007
0,40,40,monolithic,kmnist,True,0.0038733535189163937,0.00010804369648210384,0.0006111874435756541
0,40,40,monolithic,mnist,True,0.003951911954183169,0.00012938897979605115,0.0007319346001967758
1,0,41,modular,fashionmnist,True,0.008910371561276874,0.00023376992805508844,0.0013224024109219552
