dataset,algo,use_contrastive,seed,agent_id,avg_acc,final_acc,forward,backward,catastrophic
cifar100,modular,True,seed_0,agent_1,0.7864189791698214,0.7827999999999998,0.587529411764706,0.008352941176470589,1.0899999999999999
cifar100,modular,True,seed_0,agent_2,0.7786856921417884,0.7729,0.658470588235294,0.007807486631016043,1.0100000000000002
cifar100,modular,True,seed_0,agent_6,0.8099900533515131,0.7875000000000001,0.6452941176470588,0.008491978609625667,1.7800000000000002
cifar100,modular,True,seed_0,agent_7,0.8008941938840819,0.7753,0.648235294117647,0.008673796791443852,1.2999999999999994
cifar100,modular,True,seed_0,agent_4,0.794288837413118,0.7609999999999999,0.6214117647058823,0.00833155080213904,1.9999999999999998
cifar100,modular,True,seed_0,agent_3,0.7810787161840567,0.7868999999999999,0.6223529411764704,0.009155080213903745,0.3499999999999992
cifar100,modular,True,seed_0,agent_0,0.7878154754526318,0.7741,0.6170588235294118,0.007625668449197862,1.6899999999999988
cifar100,modular,True,seed_0,agent_5,0.7941059919506422,0.7883999999999999,0.6291764705882352,0.009593582887700534,0.28000000000000025
