dataset,algo,use_contrastive,seed,agent_id,avg_acc,final_acc,forward,backward,catastrophic
cifar100,modular,True,seed_0,agent_1,0.7275309452835511,0.752,0.20141176470588237,0.015589473684210525,0.46999999999999986
cifar100,modular,True,seed_0,agent_2,0.7528488539863798,0.757,0.19423529411764706,0.015126315789473687,1.13
cifar100,modular,True,seed_0,agent_6,0.7928571050872262,0.7904999999999999,0.18105882352941174,0.019263157894736843,0.3200000000000003
cifar100,modular,True,seed_0,agent_7,0.7689109075913384,0.7560000000000001,0.21470588235294116,0.01731578947368421,1.4299999999999997
cifar100,modular,True,seed_0,agent_4,0.7687651032585502,0.7574,0.20458823529411763,0.02001052631578947,0.58
cifar100,modular,True,seed_0,agent_3,0.7362621586627263,0.7658,0.20423529411764707,0.016926315789473685,0.060000000000000615
cifar100,modular,True,seed_0,agent_0,0.7688738743411732,0.7719000000000001,0.19588235294117648,0.01608421052631579,0.5799999999999994
cifar100,modular,True,seed_0,agent_5,0.7796991338330477,0.7712,0.20211764705882354,0.018505263157894736,0.68
