train_task,test_task,test_acc,test_loss,epoch
0,0,0.5293843283582089,0.6920121641301397,0
0,avg,0.5293843283582089,0.6920121641301397,0
0,0,0.5293843283582089,0.6920121641301397,0
0,avg,0.5293843283582089,0.6920121641301397,0
1,0,0.5293843283582089,0.6920121641301397,0
1,1,0.5178378378378379,0.6926532704121358,0
1,avg,0.5236110830980234,0.6923327172711378,0
1,0,0.5293843283582089,0.6920121641301397,0
1,1,0.5178378378378379,0.6926532704121358,0
1,avg,0.5236110830980234,0.6923327172711378,0
2,0,0.5293843283582089,0.6920121641301397,0
2,1,0.5178378378378379,0.6926532704121358,0
2,2,0.5129224652087475,0.6934930334982293,0
2,avg,0.5200482104682648,0.6927194893468349,0
2,0,0.5293843283582089,0.6920121641301397,0
2,1,0.5178378378378379,0.6926532704121358,0
2,2,0.5129224652087475,0.6934930334982293,0
2,avg,0.5200482104682648,0.6927194893468349,0
3,0,0.5293843283582089,0.6920121641301397,0
3,1,0.5178378378378379,0.6926532704121358,0
3,2,0.5129224652087475,0.6934930334982293,0
3,3,0.5020449897750511,0.6932526882928329,0
3,avg,0.5155474052949613,0.6928527890833345,0
3,0,0.5293843283582089,0.6891848258118132,1
3,1,0.5178378378378379,0.6916278323611698,1
3,2,0.5129224652087475,0.6911986333949428,1
3,3,0.5020449897750511,0.6924232646731511,1
3,avg,0.5155474052949613,0.6911086390602692,1
3,0,0.5293843283582089,0.6870559649680977,2
3,1,0.518918918918919,0.6901900234737912,2
3,2,0.5129224652087475,0.6879093101910995,2
3,3,0.5020449897750511,0.6915476824364536,2
3,avg,0.5158176755652316,0.6891757452673605,2
3,0,0.5293843283582089,0.6834274832882098,3
3,1,0.5848648648648649,0.6878528986750422,3
3,2,0.5178926441351889,0.682852477723988,3
3,3,0.6140081799591002,0.6899906423681841,3
3,avg,0.5615375043293407,0.686030875513856,3
3,0,0.5293843283582089,0.6783619638699204,4
3,1,0.8135135135135135,0.683413646801098,4
3,2,0.7415506958250497,0.6743022774607239,4
3,3,0.7888548057259713,0.6877211588292034,4
3,avg,0.7183258358556859,0.6809497617402364,4
3,0,0.5293843283582089,0.6701598718984804,5
3,1,0.8405405405405405,0.6762680527970597,5
3,2,0.9120278330019881,0.6593089549252338,5
3,3,0.8502044989775052,0.6841216994209524,5
3,avg,0.7830393002195607,0.6724646447604316,5
3,0,0.5293843283582089,0.6556693208751394,6
3,1,0.8448648648648649,0.6650658994107633,6
3,2,0.9294234592445328,0.6332389877046316,6
3,3,0.8399795501022495,0.6783949963154237,6
3,avg,0.7859130506424641,0.6580923010764895,6
3,0,0.5834888059701493,0.629164471555112,7
3,1,0.86,0.645036849975586,7
3,2,0.9179920477137177,0.5885132928017831,7
3,3,0.8415132924335378,0.6695990767215658,7
3,avg,0.8007485365293512,0.6330784227635118,7
3,0,0.8069029850746269,0.5843053362262782,8
3,1,0.845945945945946,0.6147638042553051,8
3,2,0.9165009940357853,0.5198280114539812,8
3,3,0.7305725971370143,0.6535937888490642,8
3,avg,0.8249806305483431,0.5931227351961572,8
3,0,0.8796641791044776,0.5126234773379653,9
3,1,0.8594594594594595,0.5676897409799937,9
3,2,0.918986083499006,0.43126677708407757,9
3,3,0.7617586912065439,0.6297110614113525,9
3,avg,0.8549671033173718,0.5353227642033472,9
3,0,0.9127798507462687,0.422274614447978,10
3,1,0.8610810810810811,0.5078732959644214,10
3,2,0.9343936381709742,0.33315512200236086,10
3,3,0.7556237218813906,0.5928972747428286,10
3,avg,0.8659695729699286,0.46405007678939725,10
3,0,0.9384328358208955,0.3164165197913326,11
3,1,0.8702702702702703,0.44297595462283573,11
3,2,0.9393638170974155,0.2573606328035207,11
3,3,0.7878323108384458,0.544760510965359,11
3,avg,0.8839748085067568,0.390378404545762,11
3,0,0.9603544776119403,0.22273632394733714,12
3,1,0.8778378378378379,0.37958383199330925,12
3,2,0.9423459244532804,0.21023499278377586,12
3,3,0.8195296523517382,0.48946907963977027,12
3,avg,0.9000169730636991,0.32550605709104813,12
3,0,0.9612873134328358,0.16128930582929013,13
3,1,0.88,0.32579810889991556,13
3,2,0.9408548707753479,0.18163419101631664,13
3,3,0.8205521472392638,0.442399319451767,13
3,avg,0.9006735828618619,0.27778023129932233,13
3,0,0.9729477611940298,0.11416747587830273,14
3,1,0.8945945945945946,0.2876507248749604,14
3,2,0.9304174950298211,0.18287437241783672,14
3,3,0.83640081799591,0.3944848222479011,14
3,avg,0.9085901672035889,0.24479434885475027,14
3,0,0.9715485074626866,0.09616744518280029,15
3,1,0.9043243243243243,0.2603330241022883,15
3,2,0.9329025844930418,0.17008356735199157,15
3,3,0.8369120654396728,0.37534966888115695,15
3,avg,0.9114218704299314,0.2254834263795593,15
3,0,0.9790111940298507,0.08100608702915818,16
3,1,0.9102702702702703,0.24187920750798406,16
3,2,0.9309145129224652,0.17315565852474266,16
3,3,0.8650306748466258,0.3204214177980013,16
3,avg,0.921306663017303,0.20411559271497154,16
3,0,0.976679104477612,0.07191963560545622,17
3,1,0.914054054054054,0.22757824562691353,17
3,2,0.9368787276341949,0.15679254399142256,17
3,3,0.8619631901840491,0.31385400300133204,17
3,avg,0.9223937690874775,0.1925361070562811,17
3,0,0.9799440298507462,0.06359819511869061,18
3,1,0.9227027027027027,0.21222242097596863,18
3,2,0.93389662027833,0.16047063641709314,18
3,3,0.8803680981595092,0.28584397204814516,18
3,avg,0.929227862747822,0.18053380613997438,18
3,0,0.9790111940298507,0.05883874777537673,19
3,1,0.9286486486486486,0.2045713373132654,19
3,2,0.9363817097415507,0.15325920719275654,19
3,3,0.8957055214723927,0.25823041412727965,19
3,avg,0.9349367684731107,0.1687249266021696,19
3,0,0.9818097014925373,0.05768821977857334,20
3,1,0.9297297297297298,0.1934974464210304,20
3,2,0.9348906560636183,0.15494282250375918,20
3,3,0.906441717791411,0.23823471498391868,20
3,avg,0.9382179512693241,0.1610908009218204,20
3,0,0.980410447761194,0.05550263021419297,21
3,1,0.9372972972972973,0.18355220794677735,21
3,2,0.9343936381709742,0.15639025743154597,21
3,3,0.9013292433537833,0.24775952844288207,21
3,avg,0.9383576566458123,0.1608011560088496,21
3,0,0.9836753731343284,0.0541410917666421,22
3,1,0.9335135135135135,0.18496094677899336,22
3,2,0.9383697813121272,0.14783122477901148,22
3,3,0.9125766871165644,0.2208396915521602,22
